sku,prueba,pValue
45,promo vs bolOpen,0.10243303656070991
45,bolOpen vs weekday,1.4716538428470416e-106
45,bolHoliday vs promo,0.022134500709257352
45,bolHoliday vs weekday,2.9785078141445735e-100
45,bolHoliday vs bolOpen,1.2897090329570751e-132
46,promo vs weekday,0.9969876259484729
46,promo vs bolOpen,0.3247799981512887
46,bolOpen vs weekday,3.522290329546757e-97
46,bolHoliday vs promo,0.05261884180596141
46,bolHoliday vs weekday,4.622213240979697e-99
46,bolHoliday vs bolOpen,1.3361556267492269e-114
47,promo vs weekday,0.9969876259484729
47,promo vs bolOpen,0.20615716670888382
47,bolOpen vs weekday,1.2820541207910169e-103
47,bolHoliday vs promo,0.06866477429895995
47,bolHoliday vs weekday,5.950574969998988e-100
47,bolHoliday vs bolOpen,7.026130725383532e-122
48,promo vs weekday,0.9987913111676995
48,promo vs bolOpen,0.9196078705257025
48,bolOpen vs weekday,9.999462363114776e-98
48,bolHoliday vs promo,0.6452369710906168
48,bolHoliday vs weekday,1.1744439152316264e-97
48,bolHoliday vs bolOpen,3.032463189882357e-119
49,promo vs weekday,0.9969876259484729
49,promo vs bolOpen,0.16513318277005676
49,bolOpen vs weekday,3.204432703436084e-105
49,bolHoliday vs promo,0.05261884180596141
49,bolHoliday vs weekday,9.915435056996789e-99
49,bolHoliday vs bolOpen,4.738810541085556e-122
50,promo vs weekday,0.9963976271454764
50,promo vs bolOpen,0.3729787316950428
50,bolOpen vs weekday,3.8131490104066284e-108
50,bolHoliday vs promo,0.15679306461227663
50,bolHoliday vs weekday,1.0264911765858248e-100
50,bolHoliday vs bolOpen,1.3606389235983703e-135
