valores,score,sku,param
6,0.9533237217925911,30,max_features
7,0.9465387895690542,30,max_features
1,0.9616029884271211,31,max_features
2,0.9720790514119965,31,max_features
3,0.97460540297889,31,max_features
4,0.978835504303243,31,max_features
5,0.9792092392287378,31,max_features
6,0.9821198685841886,31,max_features
7,0.9812601822588655,31,max_features
1,0.9059053490061684,32,max_features
2,0.9326868674205963,32,max_features
3,0.9507044902021039,32,max_features
4,0.9585537228749179,32,max_features
5,0.9569760483209567,32,max_features
6,0.9637062181891446,32,max_features
7,0.9595772941973745,32,max_features
1,0.9160070812503666,33,max_features
2,0.9236292334706054,33,max_features
3,0.9061698790541429,33,max_features
4,0.9012479963914852,33,max_features
5,0.9016727939075811,33,max_features
6,0.8863757818136032,33,max_features
7,0.8798994107137512,33,max_features
1,0.9551092988344264,34,max_features
2,0.9739269179142692,34,max_features
3,0.9819375958027093,34,max_features
4,0.9836206269945396,34,max_features
5,0.985637061714704,34,max_features
6,0.9879965723966324,34,max_features
7,0.9879523419711901,34,max_features
1,0.933066360982681,35,max_features
2,0.959773103773714,35,max_features
3,0.9725899410550164,35,max_features
4,0.9796107294337977,35,max_features
5,0.9821923068864866,35,max_features
6,0.9847543038683156,35,max_features
7,0.9827791436694782,35,max_features
1,0.9474690758490931,36,max_features
2,0.9656433141734079,36,max_features
3,0.9761285920456458,36,max_features
4,0.9777844029402917,36,max_features
5,0.9754433488234768,36,max_features
6,0.972891014175936,36,max_features
7,0.9752167451486363,36,max_features
1,0.9450309806764676,37,max_features
2,0.9715270170254979,37,max_features
3,0.9835072709159982,37,max_features
4,0.9888529709969265,37,max_features
5,0.9912192628241373,37,max_features
6,0.9946205709632747,37,max_features
7,0.9929555045774896,37,max_features
1,0.9202825506634826,38,max_features
2,0.9306814601735016,38,max_features
3,0.9344783143024824,38,max_features
4,0.9353904413008223,38,max_features
5,0.9203457880014377,38,max_features
6,0.9348315528982141,38,max_features
7,0.9095595034396723,38,max_features
1,0.8844681284273613,39,max_features
2,0.8834467352879589,39,max_features
3,0.8798008906711033,39,max_features
4,0.8490851922479158,39,max_features
5,0.830320751630316,39,max_features
6,0.7941934621759708,39,max_features
7,0.7465663579974395,39,max_features
1,0.9445059771712797,40,max_features
2,0.9691475738960292,40,max_features
3,0.9837382648244053,40,max_features
4,0.991391771696726,40,max_features
5,0.9939117815803324,40,max_features
6,0.9956428193188347,40,max_features
7,0.9970788880540946,40,max_features
1,0.9010700205164547,41,max_features
2,0.9395088976336072,41,max_features
3,0.9600972771700277,41,max_features
4,0.96885056914976,41,max_features
5,0.9751226479992742,41,max_features
6,0.9799016727598112,41,max_features
7,0.9787817338242265,41,max_features
1,0.8796350653916686,42,max_features
2,0.8703050264643042,42,max_features
3,0.8653572947412767,42,max_features
4,0.8551207962419489,42,max_features
5,0.8426661593398374,42,max_features
6,0.8325016835674495,42,max_features
7,0.8273915181050644,42,max_features
1,0.8632346827049113,43,max_features
2,0.8949420092668527,43,max_features
3,0.9175782866836298,43,max_features
